product_id,skin_type
P466142,dry
P466142,combination
P466142,oily
P446421,combination
P446421,oily
P446421,normal
P446421,dry
P439926,combination
P439926,dry
P439926,oily
P439926,normal
P445827,dry
P445827,combination
P445827,normal
P445827,oily
P422430,combination
P422430,oily
P422430,normal
P422430,dry
P471535,combination
P471535,dry
P471535,oily
P471535,normal
P434545,dry
P434545,normal
P434545,combination
P434545,oily
P428095,combination
P428095,dry
P428095,normal
P428095,oily
P465368,combination
P465368,dry
P465368,normal
P465368,oily
P442858,combination
P442858,dry
P442858,normal
P442858,oily
P423148,combination
P423148,dry
P423148,oily
P423148,normal
P443350,combination
P443350,dry
P443350,oily
P443350,normal
P453225,dry
P453225,normal
P453225,combination
P453225,oily
P3617,normal
P3617,combination
P3617,oily
P3617,dry
P474953,combination
P474953,dry
P474953,normal
P474953,oily
P476513,combination
P476513,dry
P476513,normal
P476513,oily
P468658,dry
P468658,normal
P468658,combination
P468658,oily
P456208,oily
P456208,combination
P456208,normal
P456208,dry
P459301,oily
P459301,combination
P459301,normal
P459301,dry
P122718,combination
P122718,oily
P122718,dry
P122718,normal
P482742,normal
P482742,combination
P482742,dry
P482742,oily
P427397,combination
P427397,normal
P427397,dry
P427397,oily
P469502,combination
P469502,normal
P469502,dry
P469502,oily
P448937,dry
P448937,combination
P448937,normal
P448937,oily
P421998,combination
P421998,dry
P421998,normal
P421998,oily
P445951,combination
P445951,dry
P445951,normal
P445951,oily
P434336,dry
P434336,combination
P434336,oily
P434336,normal
P421277,dry
P421277,combination
P421277,normal
P421277,oily
P455936,dry
P455936,normal
P455936,combination
P455936,oily
P405096,combination
P405096,dry
P405096,normal
P405096,oily
P500777,combination
P500777,normal
P500777,oily
P500777,dry
P467602,combination
P467602,normal
P467602,dry
P467602,oily
P379064,combination
P379064,oily
P379064,dry
P379064,normal
P474843,combination
P474843,normal
P474843,oily
P474843,dry
P422003,combination
P422003,normal
P422003,oily
P422003,dry
P473126,dry
P473126,combination
P473126,normal
P473126,oily
P442989,combination
P442989,dry
P442989,normal
P442989,oily
P302900,normal
P302900,dry
P302900,combination
P302900,oily
P469528,normal
P469528,combination
P469528,dry
P469528,oily
P385773,oily
P385773,combination
P385773,normal
P385773,dry
P410883,normal
P410883,combination
P410883,oily
P410883,dry
P429637,normal
P429637,dry
P429637,combination
P429637,oily
P500778,normal
P500778,dry
P500778,combination
P500778,oily
P483128,dry
P483128,combination
P483128,oily
P483128,normal
P480278,combination
P480278,dry
P480278,normal
P480278,oily
P450211,normal
P450211,dry
P450211,oily
P450211,combination
P423157,dry
P423157,combination
P423157,oily
P423157,normal
P379709,combination
P379709,normal
P379709,dry
P379709,oily
P386755,dry
P386755,combination
P386755,normal
P386755,oily
P440658,combination
P440658,dry
P440658,oily
P440658,normal
P447200,dry
P447200,combination
P447200,normal
P447200,oily
P504277,dry
P504277,combination
P504277,normal
P504277,oily
P469524,combination
P469524,normal
P469524,oily
P469524,dry
P395389,dry
P395389,oily
P395389,combination
P395389,normal
P500002,oily
P500002,combination
P500002,normal
P500002,dry
P410756,combination
P410756,normal
P410756,oily
P410756,dry
P451748,combination
P451748,normal
P451748,oily
P451748,dry
P476733,normal
P476733,dry
P476733,combination
P476733,oily
P476683,dry
P476683,oily
P476683,normal
P476683,combination
P397622,combination
P397622,dry
P397622,oily
P397622,normal
P411881,normal
P411881,combination
P411881,dry
P411881,oily
P482696,combination
P482696,dry
P482696,normal
P482696,oily
P471097,combination
P471097,dry
P471097,normal
P471097,oily
P408301,dry
P408301,combination
P408301,normal
P408301,oily
P447199,dry
P447199,combination
P447199,oily
P447199,normal
P394702,combination
P394702,oily
P394702,dry
P394702,normal
P503920,combination
P503920,dry
P503920,normal
P503920,oily
P470240,dry
P470240,combination
P470240,normal
P470240,oily
P474844,combination
P474844,oily
P474844,normal
P474844,dry
P440933,normal
P440933,combination
P440933,oily
P440933,dry
P500318,combination
P500318,normal
P500318,oily
P500318,dry
P482025,dry
P482025,oily
P482025,normal
P482025,combination
P440483,dry
P440483,combination
P440483,normal
P440483,oily
P484081,dry
P484081,normal
P484081,combination
P484081,oily
P473148,combination
P473148,dry
P473148,oily
P473148,normal
P453818,dry
P453818,combination
P453818,normal
P453818,oily
P377178,combination
P377178,dry
P377178,oily
P377178,normal
P476726,combination
P476726,oily
P476726,normal
P476726,dry
P429522,combination
P429522,oily
P429522,dry
P429522,normal
P504506,combination
P504506,dry
P504506,normal
P504506,oily
P505211,combination
P505211,normal
P505211,oily
P505211,dry
P444967,normal
P444967,combination
P444967,dry
P444967,oily
P483700,combination
P483700,dry
P483700,normal
P483700,oily
P433519,combination
P433519,dry
P433519,oily
P433519,normal
P471041,dry
P471041,combination
P471041,normal
P471041,oily
P470535,combination
P470535,oily
P470535,normal
P470535,dry
P464242,normal
P464242,combination
P464242,oily
P464242,dry
P442854,combination
P442854,normal
P442854,oily
P442854,dry
P436365,oily
P436365,dry
P436365,normal
P436365,combination
P392143,normal
P392143,dry
P392143,oily
P392143,combination
P399755,combination
P399755,dry
P399755,normal
P399755,oily
P444614,dry
P444614,normal
P444614,combination
P444614,oily
P468850,combination
P468850,dry
P468850,normal
P468850,oily
P502997,dry
P502997,oily
P502997,combination
P502997,normal
P416344,combination
P416344,normal
P416344,dry
P416344,oily
P502046,combination
P502046,normal
P502046,dry
P502046,oily
P500113,oily
P500113,combination
P500113,dry
P500113,normal
P442859,combination
P442859,dry
P442859,oily
P442859,normal
P392472,dry
P392472,combination
P392472,oily
P392472,normal
P504637,dry
P504637,oily
P504637,combination
P504637,normal
P460554,combination
P460554,oily
P460554,dry
P460554,normal
P503927,dry
P503927,normal
P503927,combination
P503927,oily
P380027,oily
P380027,combination
P380027,normal
P380027,dry
P433975,combination
P433975,dry
P433975,normal
P433975,oily
P388262,combination
P388262,normal
P388262,dry
P388262,oily
P500109,oily
P500109,combination
P500109,dry
P500109,normal
P448537,dry
P448537,combination
P448537,oily
P448537,normal
P407040,combination
P407040,dry
P407040,oily
P407040,normal
P446916,combination
P446916,dry
P446916,oily
P446916,normal
P474110,dry
P474110,combination
P474110,normal
P474110,oily
P461936,combination
P461936,dry
P461936,normal
P461936,oily
P446638,combination
P446638,dry
P446638,oily
P446638,normal
P412117,normal
P412117,combination
P412117,dry
P412117,oily
P504325,combination
P504325,dry
P504325,oily
P504325,normal
P449102,normal
P449102,combination
P449102,dry
P449102,oily
P397465,normal
P397465,dry
P397465,combination
P397465,oily
P483698,combination
P483698,oily
P483698,dry
P483698,normal
P471761,combination
P471761,normal
P471761,oily
P471761,dry
P483661,combination
P483661,dry
P483661,oily
P483661,normal
P501166,combination
P501166,dry
P501166,normal
P501166,oily
P483696,combination
P483696,oily
P483696,dry
P483696,normal
P503991,combination
P503991,dry
P503991,normal
P503991,oily
P504026,combination
P504026,dry
P504026,normal
P504026,oily
P503878,combination
P503878,dry
P503878,normal
P503878,oily
P433618,combination
P433618,normal
P433618,dry
P433618,oily
P500746,dry
P500746,combination
P500746,oily
P500746,normal
P503652,oily
P503652,dry
P503652,combination
P503652,normal
P500117,dry
P500117,combination
P500117,normal
P500117,oily
P460758,dry
P460758,combination
P460758,normal
P460758,oily
P440317,dry
P440317,combination
P440317,normal
P440317,oily
P501421,dry
P501421,combination
P501421,oily
P501421,normal
P482327,dry
P482327,combination
P482327,normal
P482327,oily
P430813,normal
P430813,dry
P430813,combination
P430813,oily
P457694,combination
P457694,dry
P457694,oily
P457694,normal
P501031,normal
P501031,combination
P501031,dry
P501031,oily
P483701,combination
P483701,dry
P483701,oily
P483701,normal
P504988,combination
P504988,dry
P504988,oily
P504988,normal
P417625,combination
P417625,dry
P417625,oily
P417625,normal
P468149,combination
P468149,oily
P468149,normal
P468149,dry
P464244,combination
P464244,dry
P464244,normal
P464244,oily
P475172,combination
